Year,Month,nh_extent
1988,11,11.331
1989,11,11.115
1990,11,11.075
1991,11,10.885
1992,11,11.379
1993,11,11.319
1994,11,11.123
1995,11,10.761
1996,11,10.402
1997,11,10.684
1998,11,10.441
1999,11,10.796
2000,11,10.321
2001,11,10.658
2002,11,10.342
2003,11,10.125
2004,11,10.343
2005,11,10.216
2006,11,9.659
2007,11,9.76
2008,11,10.343
2009,11,9.772
2010,11,9.614
2011,11,9.772
2012,11,9.388
2013,11,9.939
2014,11,10.115
2015,11,9.846
2016,11,8.658
2017,11,9.493
2018,11,9.823
2019,11,9.353
2020,11,8.985
2021,11,9.83
2022,11,9.725
2023,11,9.659
2024,11,
1978,12,13.667
1979,12,13.336
1980,12,13.593
1981,12,13.341
1982,12,13.642
1983,12,13.299
1984,12,12.989
1985,12,13.05
1986,12,13.222
1987,12,
1988,12,13.626
1989,12,13.387
1990,12,13.106
1991,12,12.945
1992,12,13.407
1993,12,13.319
1994,12,13.272
1995,12,12.921
1996,12,12.861
1997,12,13.076
1998,12,12.759
1999,12,12.641
2000,12,12.637
2001,12,12.491
2002,12,12.608
2003,12,12.588
2004,12,12.554
2005,12,12.228
2006,12,11.955
2007,12,12.034
2008,12,12.359
2009,12,12.2
2010,12,11.831
2011,12,12.154
2012,12,12.006
2013,12,12.184
2014,12,12.353
2015,12,12.045
2016,12,11.459
2017,12,11.743
2018,12,11.862
2019,12,11.903
2020,12,11.729
2021,12,12.152
2022,12,11.892
2023,12,12.003
2024,12,
