Year,Month,pr_mm_month
1949,4,71.16187072824687
1949,5,74.18176042847335
1949,6,75.1687326701358
1949,7,79.41710375016555
1949,8,76.73373342258856
1949,9,72.91332283057272
1949,10,73.82716301945038
1949,11,70.11311547830701
1949,12,72.14110673521645
1950,1,72.32912136241794
1950,2,65.66750050988048
1950,3,72.78248844668269
1950,4,69.90808207774535
1950,5,74.02850738726556
1950,6,73.52285011438653
1950,7,76.92780392244458
1950,8,77.28677149862051
1950,9,73.01412097876891
1950,10,73.80480062565766
1950,11,70.07989956764504
1950,12,70.52221558406018
1951,1,70.80189653788693
1951,2,65.07055959664285
1951,3,70.39666462806053
1951,4,71.11944677308202
1951,5,73.32357068080455
1951,6,74.34806629316881
1951,7,78.05636913981289
1951,8,78.13410160015337
1951,9,73.22931481758133
1951,10,73.14446690725163
1951,11,68.58471682062373
1951,12,72.07838484901004
1952,1,71.20643662638031
1952,2,68.65925420424901
1952,3,71.37142139836214
1952,4,69.96152928331867
1952,5,74.60021002334543
1952,6,72.69319728948176
1952,7,77.857373066945
1952,8,76.7631504451856
1952,9,73.64107895409688
1952,10,73.48358115996234
1952,11,69.67083702329546
1952,12,71.70800709282048
1953,1,70.18574194516987
1953,2,64.62410255335271
1953,3,72.28048437391408
1953,4,70.31798857497051
1953,5,73.50156851462089
1953,6,73.68865149328485
1953,7,78.10454329010099
1953,8,77.28092024917714
1953,9,73.15178430872038
1953,10,73.11359803425148
1953,11,70.08329423842952
1953,12,70.86639182525687
1954,1,71.87825360451825
1954,2,64.63066809810698
1954,3,72.84923458937556
1954,4,70.23768575163558
1954,5,73.78365622716956
1954,6,73.8627792452462
1954,7,77.85049870144576
1954,8,77.21469540847465
1954,9,72.91665149386972
1954,10,72.76903690653853
1954,11,69.42841981071979
1954,12,72.55541027407162
1955,1,70.91447340790182
1955,2,64.32633837684989
1955,3,71.68957151588984
1955,4,69.32789040729403
1955,5,74.46260578581132
1955,6,73.24856071500108
1955,7,77.62652885285206
1955,8,76.82387969107367
1955,9,73.37438984541222
1955,10,73.93532100250013
1955,11,69.76680248044431
1955,12,71.50518164271489
1956,1,71.71087181777693
1956,2,66.87378184287809
1956,3,71.33981685619801
1956,4,69.59474453469738
1956,5,74.36586285475641
1956,6,73.93658033106476
1956,7,77.28031125152484
1956,8,76.24729532981291
1956,9,72.65600678510964
1956,10,73.36859265924431
1956,11,70.53000462474301
1956,12,71.1493662383873
