Year,Month,tos
1964,3,12.9085865
1964,4,12.741676
1964,5,12.526982
1964,6,12.541621
1964,7,12.721465
1964,8,12.820511
1964,9,12.66591
1964,10,12.430974
1964,11,12.327258
1964,12,12.515929
1965,1,12.889063
1965,2,13.089741
1965,3,12.993307
1965,4,12.788921
1965,5,12.599441
1965,6,12.632292
1965,7,12.786803
1965,8,12.892208
1965,9,12.701065
1965,10,12.476797
1965,11,12.393792
1965,12,12.571312
1966,1,12.99815
1966,2,13.244625
1966,3,13.150758
1966,4,12.945627
1966,5,12.692507
1966,6,12.686334
1966,7,12.851729
1966,8,12.9471035
1966,9,12.810301
1966,10,12.496187
1966,11,12.41043
1966,12,12.553732
1967,1,12.933834
1967,2,13.132132
1967,3,13.058857
1967,4,12.837605
1967,5,12.609346
1967,6,12.596028
1967,7,12.766879
1967,8,12.826947
1967,9,12.697275
1967,10,12.457007
1967,11,12.388463
1967,12,12.626087
1968,1,12.983148
1968,2,13.2052
1968,3,13.130069
1968,4,12.922986
1968,5,12.703084
1968,6,12.691143
1968,7,12.801146
1968,8,12.8860035
1968,9,12.718937
1968,10,12.465226
1968,11,12.42368
1968,12,12.676495
1969,1,13.111078
1969,2,13.362632
1969,3,13.255284
1969,4,13.03409
1969,5,12.788882
1969,6,12.721254
1969,7,12.770211
1969,8,12.841532
1969,9,12.68012
1969,10,12.45364
1969,11,12.370024
1969,12,12.591018
1970,1,12.990069
1970,2,13.174089
1970,3,13.141294
1970,4,12.941707
1970,5,12.748356
1970,6,12.695188
1970,7,12.782957
1970,8,12.86537
1970,9,12.733005
1970,10,12.565074
1970,11,12.505507
1970,12,12.721268
1971,1,13.127413
1971,2,13.351462
1971,3,13.301439
1971,4,13.057577
1971,5,12.8523
1971,6,12.82227
1971,7,12.916716
1971,8,12.948012
1971,9,12.734623
1971,10,12.51218
1971,11,12.420755
1971,12,12.563427
1972,1,12.996499
1972,2,13.264246
1972,3,13.1589575
1972,4,12.922006
1972,5,12.721353
1972,6,12.686945
1972,7,12.835903
1972,8,12.924217
1972,9,12.782273
1972,10,12.512384
1972,11,12.4166565
1972,12,12.599835
1973,1,12.9889
1973,2,13.218271
1973,3,13.189179
1973,4,12.979802
1973,5,12.744242
1973,6,12.736063
1973,7,12.911647
1973,8,13.038394
1973,9,12.883385
1973,10,12.62905
1973,11,12.560603
1973,12,12.756799
1974,1,13.159847
1974,2,13.356729
1974,3,13.288938
1974,4,13.080404
1974,5,12.8265505
1974,6,12.789408
1974,7,12.919494
1974,8,13.03248
1974,9,12.888987
1974,10,12.645814
1974,11,12.556003
1974,12,12.689512
1975,1,13.032711
1975,2,13.214821
1975,3,13.178265
1975,4,12.941941
1975,5,12.765593
1975,6,12.737951
1975,7,12.860459
1975,8,12.942193
1975,9,12.788976
1975,10,12.522806
1975,11,12.383228
1975,12,12.568706
1976,1,12.960654
1976,2,13.184453
1976,3,13.148151
1976,4,12.938123
1976,5,12.722201
1976,6,12.707145
1976,7,12.853635
1976,8,12.9465275
1976,9,12.761245
1976,10,12.560936
1976,11,12.488348
1976,12,12.69619
1977,1,13.119943
1977,2,13.320515
1977,3,13.236162
1977,4,13.005922
1977,5,12.860021
1977,6,12.842669
1977,7,12.99048
1977,8,13.075884
1977,9,12.898115
1977,10,12.667357
1977,11,12.590884
1977,12,12.791693
1978,1,13.212856
1978,2,13.445392
1978,3,13.351264
1978,4,13.126515
1978,5,12.924008
1978,6,12.879808
1978,7,12.99128
1978,8,13.068319
1978,9,12.901631
1978,10,12.671861
1978,11,12.56572
1978,12,12.727781
1979,1,13.107026
1979,2,13.327893
1979,3,13.229551
1979,4,13.0066185
1979,5,12.845441
1979,6,12.854775
1979,7,12.973751
1979,8,13.106052
1979,9,12.941011
1979,10,12.682274
1979,11,12.593881
1979,12,12.785982
1980,1,13.169324
1980,2,13.425322
1980,3,13.335523
1980,4,13.08217
1980,5,12.852638
1980,6,12.814933
1980,7,12.955083
1980,8,13.068723
1980,9,12.9135895
1980,10,12.633514
1980,11,12.521035
1980,12,12.718304
1981,1,13.124172
1981,2,13.328712
1981,3,13.249127
1981,4,13.021752
1981,5,12.817647
1981,6,12.778491
1981,7,12.945546
1981,8,13.064811
1981,9,12.872187
1981,10,12.6561
1981,11,12.565974
1981,12,12.7250395
1982,1,13.133306
1982,2,13.338458
1982,3,13.262134
1982,4,13.06725
1982,5,12.913361
1982,6,12.918395
1982,7,13.028465
1982,8,13.117173
1982,9,12.919283
1982,10,12.69796
1982,11,12.592479
1982,12,12.751373
1983,1,13.118708
1983,2,13.295987
1983,3,13.268019
1983,4,13.082313
1983,5,12.882529
1983,6,12.847679
1983,7,12.973847
1983,8,13.036009
1983,9,12.844839
1983,10,12.572227
1983,11,12.506898
1983,12,12.590267
1984,1,12.980075
1984,2,13.207884
1984,3,13.110506
1984,4,12.914828
1984,5,12.710362
1984,6,12.721756
1984,7,12.923785
1984,8,12.985676
1984,9,12.76301
1984,10,12.495901
1984,11,12.423772
1984,12,12.580129
1985,1,13.011042
1985,2,13.266187
1985,3,13.180509
1985,4,12.942151
1985,5,12.766008
1985,6,12.764827
1985,7,12.901117
1985,8,13.019513
1985,9,12.848118
1985,10,12.605758
1985,11,12.507024
1985,12,12.705615
1986,1,13.121903
1986,2,13.346566
1986,3,13.266764
1986,4,13.024256
1986,5,12.850981
1986,6,12.81018
1986,7,12.9733715
1986,8,13.072014
1986,9,12.886157
1986,10,12.639297
1986,11,12.511325
1986,12,12.668852
1987,1,13.097443
1987,2,13.314706
1987,3,13.211805
1987,4,12.995982
1987,5,12.811676
1987,6,12.791478
1987,7,12.908347
1987,8,13.010698
1987,9,12.83245
1987,10,12.587788
1987,11,12.477068
1987,12,12.686542
1988,1,13.1145
1988,2,13.341465
1988,3,13.292589
1988,4,13.038707
1988,5,12.830783
1988,6,12.813114
1988,7,12.952649
1988,8,13.059972
1988,9,12.941263
1988,10,12.672389
1988,11,12.523765
1988,12,12.692853
1989,1,13.08801
1989,2,13.343499
1989,3,13.277989
1989,4,13.022696
1989,5,12.825565
1989,6,12.841541
1989,7,12.985675
1989,8,13.087999
1989,9,12.888269
1989,10,12.628098
1989,11,12.506428
1989,12,12.696234
1990,1,13.08403
1990,2,13.325527
1990,3,13.279007
1990,4,13.027537
1990,5,12.828014
1990,6,12.851525
1990,7,12.994327
1990,8,13.083085
1990,9,12.914227
1990,10,12.67311
1990,11,12.518786
1990,12,12.670236
1991,1,13.07838
1991,2,13.289572
1991,3,13.232063
1991,4,13.039025
1991,5,12.901418
1991,6,12.888921
1991,7,13.070756
1991,8,13.175866
1991,9,13.028493
1991,10,12.734004
1991,11,12.609638
1991,12,12.702242
1992,1,13.05127
1992,2,13.286327
1992,3,13.187721
1992,4,12.966018
1992,5,12.78427
1992,6,12.763088
