Year,Month,sh_icechange
2019,9,161000.0
2020,9,154000.0
2021,9,-234000.0
2022,9,179000.0
2023,9,142000.0
2024,9,
1978,10,
1979,10,-422000.0
1980,10,-345000.0
1981,10,-471000.0
1982,10,-374000.0
1983,10,-377000.0
1984,10,-224000.0
1985,10,-334000.0
1986,10,-390000.0
1987,10,-476000.0
1988,10,-257000.0
1989,10,-265000.0
1990,10,-426000.0
1991,10,-582000.0
1992,10,-193000.0
1993,10,-446000.0
1994,10,-351000.0
1995,10,-528000.0
1996,10,-445000.0
1997,10,-456000.0
1998,10,-328000.0
1999,10,-497000.0
2000,10,-623000.0
2001,10,-487000.0
2002,10,-129000.0
2003,10,-249000.0
2004,10,-342000.0
2005,10,-487000.0
2006,10,-412000.0
2007,10,-413000.0
2008,10,-82000.0
2009,10,-535000.0
2010,10,-230000.0
2011,10,-489000.0
2012,10,-564000.0
2013,10,-438000.0
2014,10,-612000.0
2015,10,-339000.0
2016,10,-552000.0
2017,10,-199000.0
2018,10,-454000.0
2019,10,-505000.0
2020,10,-361000.0
2021,10,-482000.0
2022,10,-507000.0
2023,10,-349000.0
2024,10,
1978,11,-1520000.0
1979,11,-1409000.0
1980,11,-1443000.0
1981,11,-1075000.0
1982,11,-1435000.0
1983,11,-1231000.0
1984,11,-1130000.0
1985,11,-1106000.0
1986,11,-1338000.0
1987,11,-1199000.0
1988,11,-1269000.0
1989,11,-1269000.0
1990,11,-1462000.0
1991,11,-1250000.0
1992,11,-1232000.0
1993,11,-1217000.0
1994,11,-1536000.0
1995,11,-1228000.0
1996,11,-1405000.0
1997,11,-1337000.0
1998,11,-1311000.0
1999,11,-1248000.0
2000,11,-1371000.0
2001,11,-1167000.0
2002,11,-1492000.0
2003,11,-1352000.0
2004,11,-1409000.0
2005,11,-1405000.0
2006,11,-1547000.0
2007,11,-1395000.0
2008,11,-1197000.0
2009,11,-1328000.0
2010,11,-1050000.0
2011,11,-1305000.0
2012,11,-1433000.0
2013,11,-1179000.0
2014,11,-1383000.0
2015,11,-1231000.0
2016,11,-1740000.0
2017,11,-1596000.0
2018,11,-1343000.0
2019,11,-1483000.0
2020,11,-1382000.0
2021,11,-1456000.0
2022,11,-1264000.0
2023,11,-1293000.0
2024,11,
1978,12,-2396000.0
1979,12,-2802000.0
1980,12,-2858000.0
1981,12,-2738000.0
1982,12,-2604000.0
1983,12,-2605000.0
1984,12,-2625000.0
1985,12,-2491000.0
1986,12,-2209000.0
1987,12,
1988,12,-2625000.0
1989,12,-2654000.0
1990,12,-2270000.0
1991,12,-2536000.0
1992,12,-2866000.0
1993,12,-2805000.0
1994,12,-2336000.0
1995,12,-2240000.0
1996,12,-2731000.0
1997,12,-2718000.0
1998,12,-2871000.0
1999,12,-2600000.0
2000,12,-2621000.0
2001,12,-2528000.0
2002,12,-2115000.0
2003,12,-2572000.0
2004,12,-2722000.0
2005,12,-2973000.0
2006,12,-2663000.0
2007,12,-1821000.0
2008,12,-2367000.0
2009,12,-2345000.0
2010,12,-3008000.0
2011,12,-2350000.0
2012,12,-2551000.0
2013,12,-2409000.0
2014,12,-1958000.0
2015,12,-2617000.0
2016,12,-2416000.0
2017,12,-2457000.0
2018,12,-3015000.0
2019,12,-2539000.0
2020,12,-2846000.0
2021,12,-2700000.0
2022,12,-3188000.0
2023,12,-2263000.0
2024,12,
