Year,Month,psl
1955,8,1006.8029
1955,9,1006.81024
1955,10,1006.5018
1955,11,1008.4606
1955,12,1010.57385
1956,1,1007.9048
1956,2,1009.92194
1956,3,1008.62463
1956,4,1007.8945
1956,5,1008.38544
1956,6,1007.4377
1956,7,1007.74164
1956,8,1007.2193
1956,9,1007.21436
1956,10,1006.90265
1956,11,1007.27515
1956,12,1009.26526
1957,1,1010.06024
1957,2,1007.64496
1957,3,1007.89343
1957,4,1008.7044
1957,5,1008.89374
1957,6,1009.58966
1957,7,1009.16156
1957,8,1007.9719
1957,9,1006.53705
1957,10,1005.9573
1957,11,1007.9751
1957,12,1009.53925
1958,1,1009.46124
1958,2,1009.13965
1958,3,1009.5297
1958,4,1008.8747
1958,5,1008.57074
1958,6,1007.93317
1958,7,1007.59924
1958,8,1008.6811
1958,9,1007.3868
1958,10,1007.272
1958,11,1007.13293
1958,12,1007.65326
1959,1,1008.7286
1959,2,1008.68054
1959,3,1007.8892
1959,4,1007.59875
1959,5,1008.22485
1959,6,1007.86646
1959,7,1007.35767
1959,8,1007.95245
1959,9,1006.4702
1959,10,1006.84515
1959,11,1007.7431
1959,12,1008.589
1960,1,1009.0487
1960,2,1008.5087
1960,3,1008.0018
1960,4,1009.15393
1960,5,1008.26263
1960,6,1008.2339
1960,7,1007.7349
1960,8,1007.73804
1960,9,1006.93335
1960,10,1007.80817
1960,11,1007.9895
1960,12,1008.71344
1961,1,1007.23676
1961,2,1007.82245
1961,3,1008.5403
1961,4,1008.90356
1961,5,1008.5619
1961,6,1008.56683
1961,7,1008.1242
1961,8,1006.51654
1961,9,1006.19476
1961,10,1008.41187
1961,11,1008.0991
1961,12,1008.04095
1962,1,1007.74835
1962,2,1008.7365
1962,3,1008.4448
1962,4,1008.1481
1962,5,1007.69763
1962,6,1007.7473
1962,7,1007.11926
1962,8,1007.3061
1962,9,1006.00946
1962,10,1006.7214
1962,11,1007.0157
1962,12,1009.9092
1963,1,1009.4691
1963,2,1008.5272
1963,3,1008.1329
1963,4,1008.39484
1963,5,1008.096
1963,6,1007.9133
1963,7,1006.9483
1963,8,1005.70667
1963,9,1006.92554
1963,10,1007.702
1963,11,1007.9581
1963,12,1008.49164
1964,1,1008.9599
1964,2,1009.15424
1964,3,1008.6868
1964,4,1009.20276
1964,5,1010.3127
1964,6,1008.3966
1964,7,1006.8779
1964,8,1007.6179
1964,9,1007.771
1964,10,1007.34546
1964,11,1006.88257
1964,12,1008.6778
1965,1,1008.34174
1965,2,1008.67065
1965,3,1008.332
1965,4,1008.6207
1965,5,1007.65906
1965,6,1008.0769
1965,7,1008.2577
1965,8,1007.6244
1965,9,1006.98645
1965,10,1006.67834
1965,11,1007.55963
1965,12,1007.11426
1966,1,1008.4515
1966,2,1007.344
1966,3,1007.98444
1966,4,1009.17255
1966,5,1009.6069
1966,6,1009.3119
1966,7,1006.82776
1966,8,1006.67816
1966,9,1006.7165
1966,10,1007.40094
1966,11,1007.1039
1966,12,1007.5826
1967,1,1009.0728
1967,2,1008.01575
1967,3,1008.7615
1967,4,1009.0029
1967,5,1008.52765
1967,6,1009.4932
1967,7,1008.8115
1967,8,1007.0628
1967,9,1006.9627
1967,10,1007.4777
1967,11,1008.0872
1967,12,1010.6691
1968,1,1008.7421
1968,2,1008.1273
1968,3,1007.927
1968,4,1009.7311
1968,5,1009.0106
1968,6,1009.42676
1968,7,1006.4563
1968,8,1007.6425
1968,9,1008.49854
1968,10,1008.12665
1968,11,1008.4524
1968,12,1010.0262
1969,1,1010.29974
1969,2,1008.43243
1969,3,1010.19666
1969,4,1009.2576
1969,5,1007.7724
1969,6,1007.8317
1969,7,1007.91614
1969,8,1008.8721
1969,9,1006.26746
1969,10,1006.764
1969,11,1006.8348
1969,12,1007.56366
1970,1,1009.1365
1970,2,1007.68695
1970,3,1006.8367
1970,4,1007.6443
1970,5,1007.5555
1970,6,1008.0007
1970,7,1006.87726
1970,8,1008.0459
1970,9,1007.2835
1970,10,1008.7865
1970,11,1010.34937
1970,12,1009.4622
1971,1,1009.38104
1971,2,1009.5461
1971,3,1009.2729
1971,4,1008.5662
1971,5,1007.751
1971,6,1009.39716
1971,7,1008.55493
1971,8,1007.58
1971,9,1006.9468
1971,10,1006.36365
1971,11,1008.14746
1971,12,1008.5079
1972,1,1008.5118
1972,2,1009.213
1972,3,1007.3399
1972,4,1009.008
1972,5,1009.82196
1972,6,1007.74084
1972,7,1007.89856
1972,8,1006.016
1972,9,1007.4529
1972,10,1006.5661
1972,11,1006.89496
1972,12,1008.3095
1973,1,1007.7702
1973,2,1008.77997
1973,3,1007.9074
1973,4,1008.4488
1973,5,1008.71344
1973,6,1008.6918
1973,7,1007.4323
1973,8,1006.9664
1973,9,1006.96
1973,10,1007.1577
1973,11,1008.4716
1973,12,1008.5847
1974,1,1008.20105
1974,2,1008.67816
1974,3,1008.2248
1974,4,1007.07184
1974,5,1008.8961
1974,6,1008.4404
1974,7,1006.95593
1974,8,1006.87384
1974,9,1005.6548
1974,10,1007.445
1974,11,1007.43976
1974,12,1007.3507
1975,1,1007.06635
1975,2,1007.95465
1975,3,1009.0008
1975,4,1007.97614
1975,5,1008.8387
1975,6,1008.052
1975,7,1007.8564
1975,8,1006.6252
1975,9,1006.6851
1975,10,1007.5537
1975,11,1007.6384
1975,12,1008.255
1976,1,1007.67444
1976,2,1008.47235
1976,3,1008.8298
1976,4,1009.28
1976,5,1009.04913
1976,6,1007.4378
1976,7,1008.482
1976,8,1007.2597
1976,9,1006.531
1976,10,1008.99744
1976,11,1008.9998
1976,12,1009.2532
1977,1,1008.49615
1977,2,1009.17834
1977,3,1008.55255
1977,4,1008.4837
1977,5,1007.7544
1977,6,1007.7099
1977,7,1009.33496
1977,8,1007.78644
1977,9,1006.89166
1977,10,1008.2379
1977,11,1009.9303
1977,12,1008.7707
1978,1,1009.7354
1978,2,1008.8723
1978,3,1008.7736
1978,4,1008.3779
1978,5,1009.03015
1978,6,1008.8701
1978,7,1007.64624
1978,8,1008.5768
1978,9,1006.4985
1978,10,1006.77344
1978,11,1007.99963
1978,12,1009.82446
1979,1,1008.55145
1979,2,1006.90967
1979,3,1008.31696
1979,4,1008.92664
1979,5,1009.3531
1979,6,1008.91626
1979,7,1009.19275
1979,8,1006.7725
1979,9,1008.2085
1979,10,1007.70734
1979,11,1008.2941
1979,12,1008.25586
1980,1,1007.9766
1980,2,1008.8136
1980,3,1009.24475
1980,4,1009.0266
1980,5,1008.0099
1980,6,1008.8148
1980,7,1007.2565
1980,8,1007.86847
1980,9,1006.87317
1980,10,1008.6312
1980,11,1007.59174
1980,12,1007.8079
1981,1,1008.63776
1981,2,1008.8023
1981,3,1008.4946
1981,4,1007.48773
1981,5,1010.1852
1981,6,1007.90125
1981,7,1007.7442
1981,8,1008.3868
1981,9,1006.7746
1981,10,1006.91907
1981,11,1008.29785
1981,12,1008.3007
1982,1,1008.32
1982,2,1009.34985
1982,3,1007.1782
1982,4,1009.32837
1982,5,1009.46545
1982,6,1008.3242
1982,7,1008.0772
1982,8,1008.7602
1982,9,1008.0397
1982,10,1008.0779
1982,11,1009.0807
1982,12,1009.71545
1983,1,1008.06055
1983,2,1007.38666
1983,3,1007.69476
1983,4,1008.91583
1983,5,1008.1873
1983,6,1007.3031
1983,7,1007.5597
1983,8,1005.891
1983,9,1005.76953
1983,10,1006.97253
1983,11,1007.41785
1983,12,1007.5293
1984,1,1008.17163
1984,2,1007.3821
1984,3,1008.12915
1984,4,1009.2835
1984,5,1008.79724
1984,6,1009.376
1984,7,1008.2897
1984,8,1006.988
1984,9,1006.48425
1984,10,1007.15967
1984,11,1008.44244
1984,12,1009.53253
1985,1,1009.3683
1985,2,1008.39374
1985,3,1007.7654
1985,4,1008.068
1985,5,1008.1636
1985,6,1008.2569
1985,7,1008.0332
1985,8,1007.52814
1985,9,1006.54254
1985,10,1007.29944
1985,11,1008.39343
1985,12,1009.9805
1986,1,1009.2401
1986,2,1008.0891
1986,3,1008.20496
1986,4,1007.91315
1986,5,1007.5741
1986,6,1007.48267
1986,7,1009.02716
1986,8,1006.1752
1986,9,1006.0009
1986,10,1007.1321
1986,11,1007.7274
1986,12,1008.5246
1987,1,1008.79376
1987,2,1008.50696
1987,3,1008.7993
1987,4,1008.90936
1987,5,1008.7024
1987,6,1006.59845
1987,7,1006.8495
1987,8,1006.6034
1987,9,1007.47565
1987,10,1007.9897
1987,11,1008.54376
1987,12,1009.62177
1988,1,1008.9217
1988,2,1007.80615
1988,3,1008.21924
1988,4,1008.9474
1988,5,1007.7897
1988,6,1008.7958
1988,7,1007.8917
1988,8,1007.07196
1988,9,1006.67633
1988,10,1007.08215
1988,11,1007.89136
1988,12,1007.8891
1989,1,1008.03973
1989,2,1007.90643
1989,3,1008.9
1989,4,1007.9974
1989,5,1007.99384
1989,6,1007.1328
1989,7,1007.57733
1989,8,1008.0277
1989,9,1006.67285
1989,10,1007.2222
1989,11,1007.8545
1989,12,1008.213
1990,1,1009.07996
1990,2,1009.682
1990,3,1008.3681
1990,4,1007.9634
1990,5,1008.9022
1990,6,1008.34814
1990,7,1007.62067
1990,8,1007.45746
1990,9,1006.64496
1990,10,1007.54144
1990,11,1007.79315
1990,12,1008.7294
1991,1,1008.2841
1991,2,1008.1729
1991,3,1008.4995
1991,4,1008.2924
1991,5,1008.0417
1991,6,1008.7579
1991,7,1007.3115
1991,8,1007.15295
1991,9,1007.15515
1991,10,1006.64136
1991,11,1006.46704
1991,12,1007.48096
1992,1,1008.7549
1992,2,1007.38995
1992,3,1008.3863
1992,4,1008.07605
1992,5,1009.2979
1992,6,1009.44135
1992,7,1008.03156
1992,8,1008.3557
1992,9,1007.4685
1992,10,1007.23486
1992,11,1007.3678
1992,12,1008.4001
1993,1,1007.375
1993,2,1007.9316
1993,3,1008.9337
1993,4,1008.0823
1993,5,1007.4267
1993,6,1006.7991
1993,7,1008.52625
1993,8,1006.1826
1993,9,1006.186
1993,10,1007.06036
1993,11,1008.134
1993,12,1007.18787
1994,1,1008.2182
1994,2,1008.5885
1994,3,1008.93097
1994,4,1008.68713
1994,5,1008.07794
1994,6,1008.3778
1994,7,1007.514
1994,8,1006.14514
1994,9,1006.652
1994,10,1006.37115
1994,11,1006.31396
1994,12,1007.0207
1995,1,1008.8455
1995,2,1008.4108
1995,3,1007.8391
1995,4,1007.43665
1995,5,1008.5008
1995,6,1007.83844
1995,7,1006.52484
1995,8,1006.6527
1995,9,1008.7628
1995,10,1007.87854
1995,11,1007.9022
1995,12,1008.45105
1996,1,1008.78265
1996,2,1007.5023
1996,3,1007.71124
1996,4,1008.23157
1996,5,1008.36884
1996,6,1008.4066
1996,7,1007.5173
1996,8,1006.84717
1996,9,1007.1693
1996,10,1007.95874
1996,11,1007.6803
1996,12,1010.01404
1997,1,1008.54266
1997,2,1007.6903
1997,3,1008.4557
1997,4,1008.5196
1997,5,1008.6125
1997,6,1008.46576
1997,7,1007.212
1997,8,1008.073
1997,9,1007.0599
1997,10,1005.8682
1997,11,1007.9383
1997,12,1008.3428
1998,1,1008.91095
1998,2,1009.83344
1998,3,1008.2614
1998,4,1008.76324
1998,5,1007.969
1998,6,1007.9938
1998,7,1008.3105
1998,8,1007.1212
1998,9,1008.31085
1998,10,1006.699
1998,11,1007.44257
1998,12,1007.77185
1999,1,1007.4316
1999,2,1007.95087
1999,3,1008.54205
1999,4,1008.8189
1999,5,1009.2918
1999,6,1008.1487
1999,7,1008.8835
1999,8,1008.6838
1999,9,1006.8114
1999,10,1006.26
1999,11,1006.8879
1999,12,1007.8155
2000,1,1007.6376
2000,2,1008.45264
2000,3,1008.08466
2000,4,1009.51355
2000,5,1007.1455
2000,6,1007.2325
2000,7,1007.74176
2000,8,1007.2456
2000,9,1006.4702
2000,10,1006.8168
2000,11,1008.15393
2000,12,1008.05145
2001,1,1008.66626
2001,2,1008.8483
2001,3,1007.7033
2001,4,1007.3899
2001,5,1008.57477
2001,6,1007.4598
2001,7,1006.54236
2001,8,1006.051
2001,9,1006.5081
2001,10,1007.0249
2001,11,1006.915
2001,12,1008.1863
2002,1,1007.787
2002,2,1006.8333
2002,3,1007.95416
2002,4,1008.1947
2002,5,1008.8616
2002,6,1009.02985
2002,7,1006.434
2002,8,1008.1332
2002,9,1006.88104
2002,10,1008.16974
2002,11,1006.4249
2002,12,1007.08765
2003,1,1007.30115
2003,2,1007.9377
2003,3,1007.1335
2003,4,1008.1633
2003,5,1007.95306
2003,6,1006.3973
2003,7,1008.34503
2003,8,1008.1025
2003,9,1006.88385
2003,10,1007.79333
2003,11,1007.682
2003,12,1008.8063
2004,1,1010.575
2004,2,1008.89496
2004,3,1007.7277
2004,4,1008.3622
2004,5,1007.8681
2004,6,1008.55054
2004,7,1007.21173
2004,8,1009.309
2004,9,1008.1847
2004,10,1006.95276
2004,11,1006.6914
2004,12,1008.312
2005,1,1007.8289
2005,2,1007.98303
2005,3,1007.3269
2005,4,1007.7319
2005,5,1008.0514
2005,6,1008.2573
2005,7,1007.5388
2005,8,1006.2307
2005,9,1007.8905
2005,10,1007.0573
2005,11,1007.56885
2005,12,1009.0962
2006,1,1008.81866
2006,2,1008.16724
2006,3,1007.0455
2006,4,1008.45874
2006,5,1007.94214
2006,6,1007.0748
2006,7,1007.0764
2006,8,1005.52124
2006,9,1006.50824
2006,10,1007.66425
2006,11,1007.9013
2006,12,1007.8893
2007,1,1009.57385
2007,2,1008.654
2007,3,1008.3519
2007,4,1008.3056
2007,5,1008.9751
2007,6,1008.6262
2007,7,1007.3479
2007,8,1007.00055
2007,9,1007.15295
2007,10,1006.2233
2007,11,1006.9277
2007,12,1007.15015
2008,1,1007.5543
2008,2,1008.2497
2008,3,1006.37256
2008,4,1007.61646
2008,5,1008.5944
2008,6,1007.6556
2008,7,1007.3044
2008,8,1006.8359
2008,9,1005.9427
2008,10,1006.88776
2008,11,1007.2675
2008,12,1007.71344
2009,1,1008.4589
2009,2,1007.90765
2009,3,1007.7707
2009,4,1008.0039
2009,5,1008.6554
2009,6,1007.6002
2009,7,1006.5094
2009,8,1007.30194
2009,9,1006.98737
2009,10,1007.0742
2009,11,1007.06604
2009,12,1008.13025
2010,1,1007.9694
2010,2,1007.7083
2010,3,1009.1785
2010,4,1010.33575
2010,5,1010.03424
2010,6,1007.96796
2010,7,1006.7432
2010,8,1007.89935
2010,9,1007.4021
2010,10,1007.097
2010,11,1007.7404
2010,12,1010.0452
2011,1,1008.38446
2011,2,1009.277
2011,3,1007.28534
2011,4,1008.14233
2011,5,1008.9603
2011,6,1008.0135
2011,7,1007.5144
2011,8,1007.75995
2011,9,1006.9533
2011,10,1007.30396
2011,11,1006.07764
2011,12,1007.4162
2012,1,1007.73627
2012,2,1008.9113
2012,3,1008.9481
2012,4,1007.8961
2012,5,1007.9663
2012,6,1009.29895
2012,7,1008.56573
2012,8,1007.1051
2012,9,1006.25854
2012,10,1007.5119
2012,11,1006.8455
2012,12,1007.7706
2013,1,1008.41315
2013,2,1009.42
2013,3,1007.84753
2013,4,1008.23364
2013,5,1009.5266
2013,6,1008.29156
2013,7,1007.9961
2013,8,1007.9604
2013,9,1007.143
2013,10,1006.3321
2013,11,1006.5926
2013,12,1007.05646
2014,1,1008.9296
2014,2,1008.18146
2014,3,1007.9167
2014,4,1007.8802
2014,5,1008.4786
2014,6,1007.8143
2014,7,1008.6324
2014,8,1008.4462
2014,9,1006.51074
2014,10,1007.2021
2014,11,1007.7506
2014,12,1008.0085
